cantimestamp;datetimestamp;deviceid;antennaID;data
3240949837;08.03.2020 23:59:51:665;2;2;972273000585057
3241314787;08.03.2020 23:59:52:030;2;2;
3241441365;08.03.2020 23:59:52:157;2;3;972273000585057
3241838938;08.03.2020 23:59:52:554;2;3;
3273801242;09.03.2020 00:00:24:516;2;3;972273000585057
3274198308;09.03.2020 00:00:24:912;2;3;
3274232431;09.03.2020 00:00:24:947;2;2;972273000585057
3274498571;09.03.2020 00:00:25:213;2;2;
3276019351;09.03.2020 00:00:26:734;1;4;972273000585057
3276219906;09.03.2020 00:00:26:934;1;4;
3276571567;09.03.2020 00:00:27:286;1;5;972273000585057
3277133057;09.03.2020 00:00:27:847;1;5;
3310819736;09.03.2020 00:01:01:533;1;5;972273000583889
3311741552;09.03.2020 00:01:02:455;1;5;
3311802753;09.03.2020 00:01:02:516;1;4;972273000583889
3312327330;09.03.2020 00:01:03:041;1;5;972273000583889
3312659215;09.03.2020 00:01:03:373;1;5;
3314162370;09.03.2020 00:01:04:876;1;5;972273000583889
3314559851;09.03.2020 00:01:05:273;1;5;
3315998178;09.03.2020 00:01:06:712;1;5;972273000583889
3316396193;09.03.2020 00:01:07:109;1;5;
3317832186;09.03.2020 00:01:08:545;1;5;972273000583889
3318294794;09.03.2020 00:01:09:007;1;5;
3320037817;09.03.2020 00:01:10:751;1;5;972273000585057
3320238549;09.03.2020 00:01:10:952;1;5;
3328256919;09.03.2020 00:01:18:970;1;4;
3328279287;09.03.2020 00:01:18:992;1;4;972273000585057
3328808110;09.03.2020 00:01:19:521;1;4;
3329668803;09.03.2020 00:01:20:381;2;0;972273000583889
3330033716;09.03.2020 00:01:20:747;2;0;
3330619118;09.03.2020 00:01:21:332;2;1;972273000583889
3331638976;09.03.2020 00:01:22:351;2;1;
3333239632;09.03.2020 00:01:23:952;2;0;972273000585057
3334161262;09.03.2020 00:01:24:874;2;0;
3334740657;09.03.2020 00:01:25:453;2;1;972273000585057
3334941183;09.03.2020 00:01:25:654;2;1;
3334970028;09.03.2020 00:01:25:682;2;1;972273000585057
3335171087;09.03.2020 00:01:25:883;2;1;
3336776185;09.03.2020 00:01:27:489;2;0;972273000585057
3337435368;09.03.2020 00:01:28:148;2;0;
3340391029;09.03.2020 00:01:31:104;2;4;972273000585057
3341181208;09.03.2020 00:01:31:894;2;4;
3341210249;09.03.2020 00:01:31:922;2;4;972273000585057
3343835802;09.03.2020 00:01:34:548;2;4;
3344585397;09.03.2020 00:01:35:298;2;4;972273000585057
3346634497;09.03.2020 00:01:37:347;2;1;972273000583889
3346752467;09.03.2020 00:01:37:465;2;4;
3347588786;09.03.2020 00:01:38:300;2;1;
3347748606;09.03.2020 00:01:38:461;2;0;972273000583889
3348932467;09.03.2020 00:01:39:645;2;0;
3350322682;09.03.2020 00:01:41:035;2;2;972273000583889
3350752661;09.03.2020 00:01:41:465;2;2;
3350866546;09.03.2020 00:01:41:578;2;3;972273000583889
3351270241;09.03.2020 00:01:41:982;1;5;972273000583609
3351892841;09.03.2020 00:01:42:605;1;4;972273000583609
3351897256;09.03.2020 00:01:42:610;1;5;
3352345702;09.03.2020 00:01:43:058;2;3;
3352486736;09.03.2020 00:01:43:199;1;4;
